DaysSinceLastInspection,PreviousViolationCount,ComplaintsLast6Months,CriticalViolationsBefore,PermitAge,SeatingCapacity,EmployeeCount,FoodHandlerCertified,KitchenInspectionScore,DaysSinceRenovation,RoachCockroachComplaints,TemperatureViolations,HighRiskFoodServed,InspectorChangedRecently,OwnershipChangedRecently,InspectionResult
303.1485258659799,3,6,3,1.0,47.21419256428943,19.178245671129417,64.53826156539319,61.536974667079996,656.2058832332847,0,2,No,Yes,No,CONDITIONAL PASS
436.01348969828723,8,2,4,8.29085321298763,108.07896339809373,31.15122019187112,46.07243013686292,36.8486171803004,964.5909911795933,5,6,Yes,Yes,Yes,FAIL
165.0621510912556,1,0,1,3.7001468159338184,71.01354513020951,5.831932879820471,100.0,81.57652700902393,45.95116480490276,0,1,Yes,No,No,PASS
256.6606093139105,1,0,0,4.052650495910899,80.87918635371719,16.02796917497588,81.43311983869677,93.47058446519226,253.2913673805304,0,1,Yes,No,No,PASS
237.3085392300743,0,0,0,2.0253814023768637,94.375563067692,17.992663135605937,77.93268135548064,90.09758949767999,675.521489434861,0,0,No,No,No,PASS
266.23874221389684,5,2,0,7.722069466881633,90.29255369866306,19.56966166719881,56.062349103176956,61.154147290857004,1063.9016566667344,2,1,No,No,Yes,CONDITIONAL PASS
236.3314437846058,5,0,5,6.257178556246462,73.79852936000648,10.098730314933478,59.145219978580286,64.06496227375426,974.9126419222267,1,1,No,No,No,CONDITIONAL PASS
310.27047713592424,1,3,0,7.4928362930028545,212.2121491644842,24.85155796859003,66.46162110977416,64.16415635655711,1333.9729360505357,0,0,No,No,No,CONDITIONAL PASS
364.63766858743577,6,5,5,9.844217993537,163.31079295263373,16.249836821657855,66.6699285245681,41.156313253717066,1430.6150843062592,5,3,Yes,No,Yes,FAIL
226.4780432057602,0,0,0,2.126960957277694,10.0,11.241331207897462,88.06870510806546,82.93444542132929,339.30327402865214,0,0,No,Yes,No,PASS
292.7961198911519,2,5,3,12.255388651211799,113.75461103421223,17.741167608099815,68.53954114110022,67.68869004072019,1031.2762843758983,1,3,Yes,Yes,No,CONDITIONAL PASS
299.1648050504401,12,3,3,13.586566626932324,141.7350493574888,18.148289339848372,50.506755666335536,42.94404568954663,1282.1877706642936,3,1,No,No,Yes,FAIL
306.7631229459921,5,6,2,4.243644073366696,31.823429561800772,21.489830986516978,60.76899424183151,78.00630956290308,524.0990041953855,2,2,No,No,No,CONDITIONAL PASS
396.5477073919014,7,5,4,9.89084966098539,37.00493951956201,20.25295396243415,67.48526473938234,54.69036033175824,1682.431078988857,3,3,No,Yes,No,FAIL
201.68373633050484,0,0,0,4.309793565856612,54.08890651698454,4.473489694958283,67.04678235957329,82.6374027589442,417.82015334077533,0,0,Yes,No,Yes,PASS
370.38860202166234,7,9,2,13.800219614216617,103.30662281249568,11.99450673784971,34.40097499918249,43.797918465917036,1657.4500436743178,1,2,Yes,Yes,No,FAIL
354.6400714818329,6,5,4,5.187621581752537,15.0,10.729483799300628,51.48000345791777,54.034402784012315,1613.1771547434796,3,7,Yes,Yes,No,FAIL
105.32071780131498,2,1,0,6.11983043338316,47.39981677084372,4.819542437324717,90.44478501738276,84.94373627112061,519.0455543668404,0,0,No,Yes,No,PASS
223.05253534775773,2,0,0,6.733092768955524,94.78789307886584,7.852462205589912,79.15499598628448,86.91013335822221,615.7438101606031,0,0,No,No,No,PASS
156.895063175021,2,0,0,5.277157472870794,89.2734820472576,7.79509300506726,96.06064546210186,84.74438568051852,420.2620566442504,0,0,No,Yes,No,PASS
204.8788598618135,6,3,1,10.021627308993295,18.98340092767011,19.914364934960666,59.52605351813516,56.49458477283495,861.2490710506548,3,1,Yes,No,Yes,CONDITIONAL PASS
113.41300022987468,3,5,2,7.89644267472444,62.27650349262241,14.029229728898333,54.154355681169115,66.32061608217248,1378.2085419201794,0,2,No,Yes,Yes,CONDITIONAL PASS
311.3014389160004,3,2,1,6.944029618667122,42.569460476155506,14.854569030450454,43.81634120435897,60.778970996750246,706.0033099217121,1,3,Yes,Yes,No,CONDITIONAL PASS
527.0882292171469,9,4,7,4.093174766218153,38.953079766443764,3.65703275263251,54.58461587666432,43.88466676619646,1406.0210675205421,5,3,Yes,No,No,FAIL
