course_name,lecture_name,review_rating,review_comment,review_comment_clean,course_name_clean,lecture_name_clean,comment_length,word_count
A/B Testing in Python,How to set up the A/B test,5,"If she could provide more details about the process, that would be great! For example, how to calculate the MDE, she showed us the stat summary of the daily active users and CTR, respectively. But she did not how to convert it to the % increase. She just said this equals to approximately a 0.33% increase. ","if she could provide more details about the process, that would be great! for example, how to calculate the mde, she showed us the stat summary of the daily active users and ctr, respectively. but she did not how to convert it to the % increase. she just said this equals to approximately a 0.33% increase.",A/B Testing in Python,How to set up the A/B test,306,56
A/B Testing in Python,How to set up the A/B test,5,nice,nice,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,excellent course,excellent course,A/B Testing in Python,How to set up the A/B test,16,2
A/B Testing in Python,How to set up the A/B test,5,nice,nice,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,Conclusion,5,It was an experiential learning process,it was an experiential learning process,A/B Testing in Python,Conclusion,39,6
A/B Testing in Python,How to set up the A/B test,5,"great
",great,A/B Testing in Python,How to set up the A/B test,5,1
A/B Testing in Python,How to set up the A/B test,5,"Perfect, excellent
","perfect, excellent",A/B Testing in Python,How to set up the A/B test,18,2
A/B Testing in Python,How to set up the A/B test,5,Great,great,A/B Testing in Python,How to set up the A/B test,5,1
A/B Testing in Python,How to set up the A/B test,5,Excellent ,excellent,A/B Testing in Python,How to set up the A/B test,9,1
A/B Testing in Python,Conclusion,5,great,great,A/B Testing in Python,Conclusion,5,1
A/B Testing in Python,How to set up the A/B test,5,A scientific way to make decision minus the human bias. Useful for my projects that utilizes surveys for decision making. ,a scientific way to make decision minus the human bias. useful for my projects that utilizes surveys for decision making.,A/B Testing in Python,How to set up the A/B test,121,20
A/B Testing in Python,Conclusion,5,Excellent,excellent,A/B Testing in Python,Conclusion,9,1
A/B Testing in Python,How to set up the A/B test,5,Good,good,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,"Excellent course for A/B testing!
",excellent course for a/b testing!,A/B Testing in Python,How to set up the A/B test,33,5
A/B Testing in Python,Conclusion,5,"Calm and composed instructor, learned a lot. Thanks. ","calm and composed instructor, learned a lot. thanks.",A/B Testing in Python,Conclusion,52,8
A/B Testing in Python,Conclusion,5,perfect,perfect,A/B Testing in Python,Conclusion,7,1
A/B Testing in Python,How to set up the A/B test,5,Best,best,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,-,-,A/B Testing in Python,How to set up the A/B test,1,1
A/B Testing in Python,Conclusion,5,"clear explanation that is well connected to the statistical theory, with a simple worked example of concrete calculations of metrics and statistics","clear explanation that is well connected to the statistical theory, with a simple worked example of concrete calculations of metrics and statistics",A/B Testing in Python,Conclusion,147,22
A/B Testing in Python,How to set up the A/B test,5,"it's a great course. however, there should be a note at the beginning to mention the prerequisites for this course as it has some statistics methodologies. also, they should recommend some other courses and books, and articles through the videos for further reading and understanding.  ","it's a great course. however, there should be a note at the beginning to mention the prerequisites for this course as it has some statistics methodologies. also, they should recommend some other courses and books, and articles through the videos for further reading and understanding.",A/B Testing in Python,How to set up the A/B test,284,45
A/B Testing in Python,How to set up the A/B test,5,Its E2E good course for AB testing ,its e2e good course for ab testing,A/B Testing in Python,How to set up the A/B test,34,7
A/B Testing in Python,How to set up the A/B test,5,good,good,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,"The course is on pace, I like the way the tutor explains the concepts. ","the course is on pace, i like the way the tutor explains the concepts.",A/B Testing in Python,How to set up the A/B test,70,14
A/B Testing in Python,How to set up the A/B test,5,"Great!!!
",great!!!,A/B Testing in Python,How to set up the A/B test,8,1
A/B Testing in Python,How to set up the A/B test,5,"Clear, concise and loaded with practical insights.","clear, concise and loaded with practical insights.",A/B Testing in Python,How to set up the A/B test,50,7
A/B Testing in Python,Conclusion,5,This was a great intro to A/B Testing. Although I'm just a beginner the course put forward a great base to practice and learn further. The instructor specking about the thought process when doing the process was particularly helpful.,this was a great intro to a/b testing. although i'm just a beginner the course put forward a great base to practice and learn further. the instructor specking about the thought process when doing the process was particularly helpful.,A/B Testing in Python,Conclusion,233,39
A/B Testing in Python,Conclusion,5,I really loved it!,i really loved it!,A/B Testing in Python,Conclusion,18,4
A/B Testing in Python,How to set up the A/B test,5,"Clear, concise and very well structured! Goes straight to the point for people working in ecommerce, digital products,etc..","clear, concise and very well structured! goes straight to the point for people working in ecommerce, digital products,etc..",A/B Testing in Python,How to set up the A/B test,123,18
A/B Testing in Python,Conclusion,5,Excellent ,excellent,A/B Testing in Python,Conclusion,9,1
A/B Testing in Python,Conclusion,5,Excellent and more informatic course.,excellent and more informatic course.,A/B Testing in Python,Conclusion,37,5
A/B Testing in Python,How to set up the A/B test,5,nice course,nice course,A/B Testing in Python,How to set up the A/B test,11,2
A/B Testing in Python,How to set up the A/B test,5,Excellent ,excellent,A/B Testing in Python,How to set up the A/B test,9,1
A/B Testing in Python,How to set up the A/B test,5,Excellent!,excellent!,A/B Testing in Python,How to set up the A/B test,10,1
A/B Testing in Python,Conclusion,5,I'm an experienced professional and this course was perfect for me to understand AB testing better. Thanks to course team!,i'm an experienced professional and this course was perfect for me to understand ab testing better. thanks to course team!,A/B Testing in Python,Conclusion,122,20
A/B Testing in Python,How to set up the A/B test,5,Finally found the place to understand A/B Testing. This course is just excellently made ...!!!. Thanks 365-datascience..,finally found the place to understand a/b testing. this course is just excellently made ...!!!. thanks 365-datascience..,A/B Testing in Python,How to set up the A/B test,120,17
A/B Testing in Python,How to set up the A/B test,5,Good ,good,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,"great course, but it would be have been much better if get to know to code these in python","great course, but it would be have been much better if get to know to code these in python",A/B Testing in Python,How to set up the A/B test,90,19
A/B Testing in Python,Conclusion,5,It was thoroughly informative and took me through a first hand experience on A/B Testing. A suggestion if the case study/example is a little more rounded then it'll surely pack a punch!,it was thoroughly informative and took me through a first hand experience on a/b testing. a suggestion if the case study/example is a little more rounded then it'll surely pack a punch!,A/B Testing in Python,Conclusion,185,32
A/B Testing in Python,Conclusion,5,Great Course!,great course!,A/B Testing in Python,Conclusion,13,2
A/B Testing in Python,How to set up the A/B test,5,"Nicely explained , Many example through we understand and please  increase instructor voice ","nicely explained , many example through we understand and please  increase instructor voice",A/B Testing in Python,How to set up the A/B test,91,13
A/B Testing in Python,Conclusion,5,very nice course,very nice course,A/B Testing in Python,Conclusion,16,3
A/B Testing in Python,How to set up the A/B test,5,informative and engaging,informative and engaging,A/B Testing in Python,How to set up the A/B test,24,3
A/B Testing in Python,How to set up the A/B test,5,It is an excellent course.,it is an excellent course.,A/B Testing in Python,How to set up the A/B test,26,5
A/B Testing in Python,Conclusion,5,best video...,best video...,A/B Testing in Python,Conclusion,13,2
A/B Testing in Python,How to set up the A/B test,5,Super Excited for this Course,super excited for this course,A/B Testing in Python,How to set up the A/B test,29,5
A/B Testing in Python,Conclusion,5,AMAZING,amazing,A/B Testing in Python,Conclusion,7,1
A/B Testing in Python,How to set up the A/B test,5,Amazing,amazing,A/B Testing in Python,How to set up the A/B test,7,1
A/B Testing in Python,How to set up the A/B test,5,Good,good,A/B Testing in Python,How to set up the A/B test,4,1
A/B Testing in Python,How to set up the A/B test,5,"I am learning and enjoying this course! 
",i am learning and enjoying this course!,A/B Testing in Python,How to set up the A/B test,39,7
A/B Testing in Python,How to set up the A/B test,5,Great content and explanation!,great content and explanation!,A/B Testing in Python,How to set up the A/B test,30,4
A/B Testing in Python,How to set up the A/B test,5,"Simple, clear and very informative.","simple, clear and very informative.",A/B Testing in Python,How to set up the A/B test,35,5
A/B Testing in Python,How to set up the A/B test,5,I like the fact that everything is so simple to understand ,i like the fact that everything is so simple to understand,A/B Testing in Python,How to set up the A/B test,58,11
A/B Testing in Python,How to set up the A/B test,5,Very didactic 👍,very didactic 👍,A/B Testing in Python,How to set up the A/B test,15,3
A/B Testing in Python,Conclusion,5,"great course
",great course,A/B Testing in Python,Conclusion,12,2
A/B Testing in Python,Conclusion,4,Good but more projects needed.,good but more projects needed.,A/B Testing in Python,Conclusion,30,5
A/B Testing in Python,How to set up the A/B test,4,"It s very detailed course, the instructor is having the right info and the calm tone  ","it s very detailed course, the instructor is having the right info and the calm tone",A/B Testing in Python,How to set up the A/B test,84,16
A/B Testing in Python,Conclusion,4,"Great course, the teacher is very confident and pleasant. I think there should be a bit more examples with coding. ","great course, the teacher is very confident and pleasant. i think there should be a bit more examples with coding.",A/B Testing in Python,Conclusion,114,20
