TransactionID,Date,Product,Quantity,Region,Channel,CustomerID,Price,Revenue,Discount_Percent,Discount_Amount,Final_Revenue,Month,Month_Name,Quarter,Year,DayOfWeek
TXN00001,2024-04-12,Monitor,3,North,Phone,CUST0149,299,897,0,0.0,897.0,4,April,2,2024,Friday
TXN00002,2024-12-14,Keyboard,4,East,Phone,CUST0012,75,300,15,45.0,255.0,12,December,4,2024,Saturday
TXN00003,2024-09-27,Laptop,2,West,Retail Store,CUST0050,899,1798,0,0.0,1798.0,9,September,3,2024,Friday
TXN00004,2024-04-16,Webcam,3,South,Retail Store,CUST0132,89,267,0,0.0,267.0,4,April,2,2024,Tuesday
TXN00005,2024-03-12,Mouse,3,East,Online,CUST0113,25,75,0,0.0,75.0,3,March,1,2024,Tuesday
TXN00006,2024-07-07,SSD Drive,2,West,Phone,CUST0170,129,258,0,0.0,258.0,7,July,3,2024,Sunday
TXN00007,2024-01-21,Graphics Card,2,North,Online,CUST0166,449,898,0,0.0,898.0,1,January,1,2024,Sunday
TXN00008,2024-04-12,Headphones,1,West,Online,CUST0153,149,149,0,0.0,149.0,4,April,2,2024,Friday
TXN00009,2024-05-01,USB Cable,3,West,Retail Store,CUST0014,12,36,5,1.8,34.2,5,May,2,2024,Wednesday
TXN00010,2024-08-02,Graphics Card,5,North,Phone,CUST0032,449,2245,0,0.0,2245.0,8,August,3,2024,Friday
TXN00011,2024-11-26,Mouse,2,North,Phone,CUST0139,25,50,5,2.5,47.5,11,November,4,2024,Tuesday
TXN00012,2024-03-28,SSD Drive,2,North,Phone,CUST0189,129,258,0,0.0,258.0,3,March,1,2024,Thursday
TXN00013,2024-04-09,Mouse,4,South,Retail Store,CUST0146,25,100,0,0.0,100.0,4,April,2,2024,Tuesday
TXN00014,2024-12-25,Monitor,5,North,Retail Store,CUST0155,299,1495,5,74.75,1420.25,12,December,4,2024,Wednesday
TXN00015,2024-05-31,Laptop,5,South,Retail Store,CUST0055,899,4495,20,899.0,3596.0,5,May,2,2024,Friday
TXN00016,2024-05-10,Headphones,2,North,Retail Store,CUST0182,149,298,0,0.0,298.0,5,May,2,2024,Friday
TXN00017,2024-05-29,RAM,1,South,Retail Store,CUST0120,85,85,15,12.75,72.25,5,May,2,2024,Wednesday
TXN00018,2024-11-04,Laptop,4,West,Phone,CUST0075,899,3596,5,179.8,3416.2,11,November,4,2024,Monday
TXN00019,2024-09-14,RAM,5,East,Online,CUST0021,85,425,5,21.25,403.75,9,September,3,2024,Saturday
TXN00020,2024-12-09,SSD Drive,2,West,Phone,CUST0172,129,258,5,12.9,245.1,12,December,4,2024,Monday
TXN00021,2024-10-20,Webcam,5,West,Online,CUST0133,89,445,0,0.0,445.0,10,October,4,2024,Sunday
TXN00022,2024-07-10,USB Cable,4,North,Retail Store,CUST0087,12,48,0,0.0,48.0,7,July,3,2024,Wednesday
TXN00023,2024-10-03,Keyboard,4,South,Online,CUST0169,75,300,5,15.0,285.0,10,October,4,2024,Thursday
TXN00024,2024-06-09,Laptop,3,East,Phone,CUST0059,899,2697,0,0.0,2697.0,6,June,2,2024,Sunday
TXN00025,2024-11-09,Headphones,2,North,Phone,CUST0089,149,298,15,44.699999999999996,253.3,11,November,4,2024,Saturday
TXN00026,2024-01-22,Mouse,4,North,Online,CUST0182,25,100,0,0.0,100.0,1,January,1,2024,Monday
TXN00027,2024-09-09,Headphones,3,North,Retail Store,CUST0150,149,447,0,0.0,447.0,9,September,3,2024,Monday
TXN00028,2024-08-23,SSD Drive,3,West,Retail Store,CUST0083,129,387,10,38.7,348.3,8,August,3,2024,Friday
TXN00029,2024-12-10,RAM,5,South,Phone,CUST0065,85,425,0,0.0,425.0,12,December,4,2024,Tuesday
TXN00030,2024-02-18,Mouse,5,South,Online,CUST0064,25,125,5,6.25,118.75,2,February,1,2024,Sunday
TXN00031,2024-02-28,Keyboard,3,East,Retail Store,CUST0071,75,225,5,11.25,213.75,2,February,1,2024,Wednesday
TXN00032,2024-06-18,Keyboard,5,South,Retail Store,CUST0004,75,375,15,56.25,318.75,6,June,2,2024,Tuesday
TXN00033,2024-07-06,Laptop,4,South,Phone,CUST0193,899,3596,10,359.6,3236.4,7,July,3,2024,Saturday
TXN00034,2024-09-27,SSD Drive,1,North,Retail Store,CUST0143,129,129,5,6.45,122.55,9,September,3,2024,Friday
TXN00035,2024-07-08,Webcam,4,North,Online,CUST0104,89,356,5,17.8,338.2,7,July,3,2024,Monday
TXN00036,2024-06-23,SSD Drive,3,West,Phone,CUST0150,129,387,15,58.05,328.95,6,June,2,2024,Sunday
TXN00037,2024-02-20,RAM,3,North,Phone,CUST0175,85,255,0,0.0,255.0,2,February,1,2024,Tuesday
TXN00038,2024-12-29,Headphones,4,North,Online,CUST0093,149,596,0,0.0,596.0,12,December,4,2024,Sunday
TXN00039,2024-02-24,Keyboard,5,North,Phone,CUST0174,75,375,0,0.0,375.0,2,February,1,2024,Saturday
TXN00040,2024-08-31,Headphones,5,North,Retail Store,CUST0142,149,745,0,0.0,745.0,8,August,3,2024,Saturday
TXN00041,2024-11-15,Headphones,3,West,Retail Store,CUST0178,149,447,5,22.35,424.65,11,November,4,2024,Friday
TXN00042,2024-05-10,Headphones,2,North,Online,CUST0148,149,298,5,14.9,283.1,5,May,2,2024,Friday
TXN00043,2024-11-02,Keyboard,5,East,Retail Store,CUST0178,75,375,5,18.75,356.25,11,November,4,2024,Saturday
TXN00044,2024-05-14,Graphics Card,4,East,Online,CUST0112,449,1796,0,0.0,1796.0,5,May,2,2024,Tuesday
TXN00045,2024-01-21,Monitor,5,East,Online,CUST0161,299,1495,10,149.5,1345.5,1,January,1,2024,Sunday
TXN00046,2024-11-24,RAM,4,East,Retail Store,CUST0119,85,340,0,0.0,340.0,11,November,4,2024,Sunday
TXN00047,2024-06-15,Graphics Card,3,North,Online,CUST0059,449,1347,5,67.35000000000001,1279.65,6,June,2,2024,Saturday
TXN00048,2024-09-30,RAM,5,East,Retail Store,CUST0043,85,425,5,21.25,403.75,9,September,3,2024,Monday
TXN00049,2024-03-29,Mouse,4,North,Phone,CUST0012,25,100,0,0.0,100.0,3,March,1,2024,Friday
TXN00050,2024-11-11,SSD Drive,3,West,Phone,CUST0040,129,387,0,0.0,387.0,11,November,4,2024,Monday
TXN00051,2024-01-14,SSD Drive,2,East,Online,CUST0118,129,258,0,0.0,258.0,1,January,1,2024,Sunday
TXN00052,2024-08-29,USB Cable,4,South,Retail Store,CUST0020,12,48,10,4.800000000000001,43.2,8,August,3,2024,Thursday
TXN00053,2024-09-21,SSD Drive,2,East,Retail Store,CUST0166,129,258,15,38.699999999999996,219.3,9,September,3,2024,Saturday
TXN00054,2024-12-11,Keyboard,2,East,Phone,CUST0131,75,150,5,7.5,142.5,12,December,4,2024,Wednesday
TXN00055,2024-02-22,Webcam,1,North,Phone,CUST0156,89,89,0,0.0,89.0,2,February,1,2024,Thursday
TXN00056,2024-12-05,Laptop,5,East,Retail Store,CUST0184,899,4495,0,0.0,4495.0,12,December,4,2024,Thursday
TXN00057,2024-04-01,USB Cable,4,South,Online,CUST0090,12,48,10,4.800000000000001,43.2,4,April,2,2024,Monday
TXN00058,2024-09-20,Laptop,2,North,Phone,CUST0094,899,1798,10,179.8,1618.2,9,September,3,2024,Friday
TXN00059,2024-02-04,RAM,1,North,Online,CUST0013,85,85,0,0.0,85.0,2,February,1,2024,Sunday
TXN00060,2024-07-24,Laptop,3,West,Online,CUST0066,899,2697,0,0.0,2697.0,7,July,3,2024,Wednesday
TXN00061,2024-03-21,Laptop,4,West,Phone,CUST0037,899,3596,10,359.6,3236.4,3,March,1,2024,Thursday
TXN00062,2024-02-19,USB Cable,2,East,Online,CUST0177,12,24,0,0.0,24.0,2,February,1,2024,Monday
TXN00063,2024-12-25,Mouse,5,West,Online,CUST0066,25,125,0,0.0,125.0,12,December,4,2024,Wednesday
TXN00064,2024-01-02,Headphones,1,West,Retail Store,CUST0036,149,149,0,0.0,149.0,1,January,1,2024,Tuesday
TXN00065,2024-02-23,SSD Drive,2,West,Online,CUST0182,129,258,5,12.9,245.1,2,February,1,2024,Friday
TXN00066,2024-04-15,SSD Drive,5,North,Retail Store,CUST0026,129,645,15,96.75,548.25,4,April,2,2024,Monday
TXN00067,2024-09-16,Keyboard,2,North,Phone,CUST0075,75,150,20,30.0,120.0,9,September,3,2024,Monday
TXN00068,2024-11-05,USB Cable,4,North,Phone,CUST0200,12,48,5,2.4000000000000004,45.6,11,November,4,2024,Tuesday
TXN00069,2024-07-09,Keyboard,4,West,Retail Store,CUST0108,75,300,5,15.0,285.0,7,July,3,2024,Tuesday
TXN00070,2024-08-05,Webcam,4,North,Phone,CUST0168,89,356,0,0.0,356.0,8,August,3,2024,Monday
TXN00071,2024-02-13,Webcam,1,West,Online,CUST0043,89,89,5,4.45,84.55,2,February,1,2024,Tuesday
TXN00072,2024-06-10,Keyboard,4,North,Online,CUST0150,75,300,0,0.0,300.0,6,June,2,2024,Monday
TXN00073,2024-07-20,USB Cable,5,North,Online,CUST0148,12,60,5,3.0,57.0,7,July,3,2024,Saturday
TXN00074,2024-09-26,Keyboard,2,South,Phone,CUST0008,75,150,0,0.0,150.0,9,September,3,2024,Thursday
TXN00075,2024-12-16,SSD Drive,3,East,Online,CUST0029,129,387,0,0.0,387.0,12,December,4,2024,Monday
TXN00076,2024-10-30,Graphics Card,5,West,Phone,CUST0040,449,2245,0,0.0,2245.0,10,October,4,2024,Wednesday
TXN00077,2024-09-27,Monitor,5,South,Online,CUST0158,299,1495,0,0.0,1495.0,9,September,3,2024,Friday
TXN00078,2024-08-02,Laptop,4,North,Retail Store,CUST0128,899,3596,0,0.0,3596.0,8,August,3,2024,Friday
TXN00079,2024-09-08,Monitor,1,West,Phone,CUST0084,299,299,0,0.0,299.0,9,September,3,2024,Sunday
TXN00080,2024-07-08,USB Cable,2,North,Phone,CUST0116,12,24,20,4.800000000000001,19.2,7,July,3,2024,Monday
TXN00081,2024-10-22,Monitor,1,East,Online,CUST0183,299,299,0,0.0,299.0,10,October,4,2024,Tuesday
TXN00082,2024-07-31,Webcam,2,South,Phone,CUST0144,89,178,5,8.9,169.1,7,July,3,2024,Wednesday
TXN00083,2024-07-26,RAM,2,East,Phone,CUST0174,85,170,15,25.5,144.5,7,July,3,2024,Friday
TXN00084,2024-08-24,Laptop,1,South,Retail Store,CUST0062,899,899,20,179.8,719.2,8,August,3,2024,Saturday
TXN00085,2024-12-03,Headphones,5,North,Retail Store,CUST0007,149,745,5,37.25,707.75,12,December,4,2024,Tuesday
TXN00086,2024-02-22,USB Cable,2,East,Online,CUST0045,12,24,10,2.4000000000000004,21.6,2,February,1,2024,Thursday
TXN00087,2024-10-06,Laptop,1,East,Retail Store,CUST0187,899,899,0,0.0,899.0,10,October,4,2024,Sunday
TXN00088,2024-08-04,Monitor,2,North,Online,CUST0184,299,598,0,0.0,598.0,8,August,3,2024,Sunday
TXN00089,2024-09-08,Webcam,3,East,Online,CUST0176,89,267,0,0.0,267.0,9,September,3,2024,Sunday
TXN00090,2024-07-06,Mouse,5,West,Online,CUST0155,25,125,5,6.25,118.75,7,July,3,2024,Saturday
TXN00091,2024-02-10,Graphics Card,4,South,Phone,CUST0181,449,1796,5,89.80000000000001,1706.2,2,February,1,2024,Saturday
TXN00092,2024-06-05,Headphones,2,South,Retail Store,CUST0088,149,298,0,0.0,298.0,6,June,2,2024,Wednesday
TXN00093,2024-01-15,Graphics Card,3,South,Online,CUST0073,449,1347,0,0.0,1347.0,1,January,1,2024,Monday
TXN00094,2024-10-27,Laptop,4,West,Retail Store,CUST0163,899,3596,5,179.8,3416.2,10,October,4,2024,Sunday
TXN00095,2024-03-05,Webcam,4,South,Online,CUST0179,89,356,0,0.0,356.0,3,March,1,2024,Tuesday
